title,creator,agerecommendation,active,favorites,visits,created,updated,serversize,likes,dislikes,gamelink,datefetched,like_ratio,player_to_visit_ratio,genre_action,genre_adventure,genre_education,genre_entertainment,genre_obby_&_platformer,genre_party_&_casual,genre_puzzle,genre_rpg,genre_roleplay_&_avatar_sim,genre_shooter,genre_shopping,genre_simulation,genre_social,genre_sports_&_racing,genre_strategy,genre_survival,camera_not_supported,camera_supported,vc_not_supported,vc_supported
Catalog Avatar Creator,@ItsMuneeeb,All Ages,19469,3438844,2800000000.0,7/4/2021,11/5/2024,24,1000000.0,124000.0,https://www.roblox.com/games/7041939546/Catalog-Avatar-Creator?gameSearchSessionInfo=df0c3d35-82ec-4fcf-b9c2-0e3329c86249&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=7041939546&amp;position=0&amp;universeId=2711375305,11/5/2024 20:24,0.8896797153024911,6.953214285714286e-06,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
 [HALLOWEEN 🎃] The Mimic,CTStudio,Ages 13+,2709,2911356,988300000.0,1/15/2021,11/5/2024,45,982000.0,107000.0,https://www.roblox.com/games/6243699076/HALLOWEEN-The-Mimic?gameSearchSessionInfo=8ac819fa-2833-400c-925a-012ace94e6e0&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=6243699076&amp;position=0&amp;universeId=2294168059,11/5/2024 20:25,0.9017447199265382,2.741070525144187e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
 Sol's RNG [Era 9],sol's studio,All Ages,22155,635262,765900000.0,12/3/2023,11/4/2024,20,746000.0,101000.0,https://www.roblox.com/games/15532962292/Sols-RNG-Era-9?gameSearchSessionInfo=22202c29-6dfa-467f-92ea-312cf8761640&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=15532962292&amp;position=0&amp;universeId=5361032378,11/5/2024 20:25,0.8807556080283353,2.892675283979632e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
🎃Basketball Legends🎃,InfinitySports,All Ages,3445,358703,355700000.0,7/31/2023,11/5/2024,10,241000.0,52000.0,https://www.roblox.com/games/14259168147/Basketball-Legends?gameSearchSessionInfo=9edc3fc0-7dbb-4e91-a91c-5052826b300e&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=14259168147&amp;position=0&amp;universeId=4931927012,11/5/2024 20:25,0.8225255972696246,9.685127916783807e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
[⏰UPDATE] Slap Battles👏,Slap Battles,Ages 9+,9035,2363252,2400000000.0,2/17/2021,11/2/2024,16,1000000.0,245000.0,https://www.roblox.com/games/6403373529/UPDATE-Slap-Battles?gameSearchSessionInfo=6ecff15f-8e6f-467d-98e6-e696ff6e14cd&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=6403373529&amp;position=0&amp;universeId=2380077519,11/5/2024 20:25,0.8032128514056225,3.7645833333333332e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
[🗼UPD] Get Big Simulator,Goofin,All Ages,74,33655,9100000.0,3/20/2024,11/3/2024,10,100000.0,2975.0,https://www.roblox.com/games/16805075717/UPD-Get-Big-Simulator?gameSearchSessionInfo=ab1e025e-08c4-4bd2-9bf0-444e7454eead&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=16805075717&amp;position=0&amp;universeId=5775539687,11/5/2024 20:25,0.9711094925952901,8.131868131868132e-06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Vehicle Legends 🏎️ CARS!,QuadraTech,All Ages,5984,2277362,1500000000.0,1/2/2020,11/4/2024,18,1000000.0,70000.0,https://www.roblox.com/games/4566572536/Vehicle-Legends-CARS?gameSearchSessionInfo=ea555ed7-751f-46b4-b5fa-df9f3bf341ec&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=4566572536&amp;position=0&amp;universeId=1480782352,11/5/2024 20:25,0.9345794392523364,3.9893333333333335e-06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
[🥁] Tongue Battles,LDS Fighting,All Ages,2603,217480,131600000.0,3/12/2024,11/5/2024,18,383000.0,28000.0,https://www.roblox.com/games/16721806812/Tongue-Battles?gameSearchSessionInfo=b7708637-bb6a-4a01-a8ef-f77c6a7cdd94&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=16721806812&amp;position=0&amp;universeId=5747480325,11/5/2024 20:25,0.9318734793187348,1.977963525835866e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
[🕷️HALLOWEEN🕸️] A Universal Time 3.9 🎃,Universe Time Studio,Ages 13+,14899,1312542,796900000.0,6/4/2020,11/5/2024,1,796000.0,134000.0,https://www.roblox.com/games/5130598377/HALLOWEEN-A-Universal-Time-3-9?gameSearchSessionInfo=260983f7-f85f-41be-b505-e08b64061374&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=5130598377&amp;position=0&amp;universeId=1782832995,11/5/2024 20:26,0.8559139784946237,1.8696197766344586e-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Survive in the Abandoned Caps,@lauradevilhenabento2,All Ages,8,50049,2100000.0,7/18/2024,11/1/2024,20,1889.0,718.0,https://www.roblox.com/games/18547779478/Survive-in-the-Abandoned-Caps?gameSearchSessionInfo=fc8e32b3-02c7-462e-b58f-1778234b2196&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=34&amp;page=searchPage&amp;placeId=18547779478&amp;position=0&amp;universeId=6284424140,11/5/2024 20:26,0.7245876486382815,3.8095238095238094e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
